OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed,x,y,standard_name,runway_length_m,runway_width_m,runway_capacity,continent_name,hub_priority_score,distance_from_ams_km,strategic_distance
75834,27058,YMHB,medium_airport,Hobart International Airport,-42.836101532,147.509994507,13.0,OC,AU,AU-TAS,Hobart,yes,YMHB,HBA,nan,nan,https://en.wikipedia.org/wiki/Hobart_International_Airport,nan,ATIS,112.7,7385.0,148.0,ASP,1.0,0.0,16420737.4754,-5287058.0093,Hobart,2250.9480000000003,45.110400000000006,medium,Oceania,4,17057.55544132464,global
75837,27059,YMHU,small_airport,McArthur River Mine Airport,-16.4424991608,136.083999634,131.0,OC,AU,AU-NT,McArthur River Mine,yes,YMHU,MCV,nan,nan,https://en.wikipedia.org/wiki/McArthur_River_Mine_Airport,nan,CTAF,126.7,4931.0,75.0,ASP,1.0,0.0,15148801.5444,-1856023.9845,McArthur River Mine,1502.9688,22.86,small,Oceania,2,14185.303328898755,global
75839,27060,YMIA,medium_airport,Mildura Airport,-34.2291984558,142.085998535,167.0,OC,AU,AU-VIC,Mildura,yes,YMIA,MQL,nan,http://www.milduraairport.com.au/,https://en.wikipedia.org/wiki/Mildura_Airport,nan,CTAF,118.8,6004.0,148.0,ASP,1.0,0.0,15816941.0058,-4059619.4559,Mildura,1830.0192000000002,45.110400000000006,small,Oceania,3,16085.926527416947,global
75859,27063,YMLT,medium_airport,Launceston Airport,-41.54529953,147.214004517,562.0,OC,AU,AU-TAS,Launceston,yes,YMLT,LST,nan,http://www.launcestonairport.com.au/,https://en.wikipedia.org/wiki/Launceston_Airport,nan,ATIS,112.6,2297.0,60.0,GRS,0.0,0.0,16387788.0205,-5093109.0082,Launceston,700.1256000000001,18.288,small,Oceania,3,16955.06836779216,global
75861,27064,YMMB,medium_airport,Melbourne Moorabbin Airport,-37.9757995605469,145.102005004883,50.0,OC,AU,AU-VIC,Melbourne,yes,YMMB,MBW,nan,http://www.moorabbinairport.com.au/,https://en.wikipedia.org/wiki/Moorabbin_Airport,nan,ATIS,120.9,1873.0,60.0,ASP,1.0,0.0,16152681.3102,-4576007.6663,Melbourne Moorabbin,570.8904,18.288,small,Oceania,3,16566.956914121172,global
75863,27066,YMML,large_airport,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,yes,YMML,MEL,nan,http://melbourneairport.com.au/,https://en.wikipedia.org/wiki/Melbourne_Airport,nan,Melbourne Approach,132.0,7500.0,148.0,ASP,1.0,0.0,16123849.2276,-4533376.5885,Melbourne,2286.0,45.110400000000006,medium,Oceania,5,16527.755861902813,global
75882,27071,YMOG,medium_airport,Mount Magnet Airport,-28.1161003112793,117.842002868652,1354.0,OC,AU,AU-WA,nan,yes,YMOG,MMG,nan,nan,https://en.wikipedia.org/wiki/Mount_Magnet_Airport,nan,CTAF,126.7,2953.0,98.0,PER,1.0,0.0,13118111.7534,-3263619.2838,Mount Magnet,900.0744000000001,29.8704,small,Oceania,3,13973.72900418697,global
75885,27072,YMOR,medium_airport,Moree Airport,-29.4988994598,149.845001221,701.0,OC,AU,AU-NSW,Moree,yes,YMOR,MRZ,nan,nan,https://en.wikipedia.org/wiki/Moree_Airport,nan,CTAF/UNICOM,126.7,5292.0,98.0,ASP,1.0,0.0,16680669.2338,-3439299.3012,Moree,1613.0016,29.8704,small,Oceania,3,16188.403387403818,global
75892,27074,YMRB,medium_airport,Moranbah Airport,-22.057800293,148.07699585,770.0,OC,AU,AU-QLD,Moranbah,yes,YMRB,MOV,nan,nan,https://en.wikipedia.org/wiki/Moranbah_Airport,nan,CTAF,126.7,5000.0,98.0,ASP,1.0,0.0,16483855.7762,-2518466.2659,Moranbah,1524.0,29.8704,small,Oceania,3,15414.23248755062,global
75897,27075,YMRY,medium_airport,Moruya Airport,-35.8978004456,150.143997192,14.0,OC,AU,AU-NSW,Moruya,yes,YMRY,MYA,nan,nan,https://en.wikipedia.org/wiki/Moruya_Airport,RAAF Moruya,MELBOURNE CNTR,120.75,2713.0,60.0,GVL,0.0,0.0,16713953.3131,-4286567.9678,Moruya,826.9224,18.288,small,Oceania,3,16739.32843542881,global
