iata_code,name,standard_name,type,latitude_deg,longitude_deg,elevation_ft,continent_name,iso_country,iso_region,municipality,runway_length_m,runway_width_m,runway_capacity,hub_priority_score,distance_from_ams_km,strategic_distance
JJN,Quanzhou Jinjiang International Airport,Quanzhou Jinjiang,medium_airport,24.7964,118.589996,,Asia,CN,CN-35,Quanzhou,2599.944,,medium,4,9308.751867804633,global
FSZ,Mount Fuji Shizuoka Airport,Mount Fuji Shizuoka,medium_airport,34.796043,138.187752,433.0,Asia,JP,JP-22,Makinohara / Shimada,2200.0464,,medium,4,9317.137001498808,global
LTO,Loreto International Airport,Loreto,medium_airport,25.989200592041,-111.347999572754,34.0,,MX,MX-BCS,Loreto,2200.0464,45.110400000000006,medium,4,9342.066734208358,global
TBT,Tabatinga Airport,Tabatinga,medium_airport,-4.25567,-69.935799,263.0,South America,BR,BR-AM,Tabatinga,2150.0592,29.8704,medium,4,9366.352432593008,global
GDL,Aeropuerto Internacional Miguel Hidalgo,Aeropuerto Internacional Miguel Hidalgo,large_airport,20.52504,-103.301557,5016.0,,MX,MX-JAL,Ciudad de Tlajomulco de Zúñiga,1800.1488000000002,29.8704,small,4,9375.701359626873,global
PVH,Governador Jorge Teixeira de Oliveira Airport,Governador Jorge Teixeira de Oliveira,medium_airport,-8.707854,-63.90242,295.0,South America,BR,BR-RO,Porto Velho,2399.9952000000003,45.110400000000006,medium,4,9380.26905161275,global
TPQ,Amado Nervo National Airport,Amado Nervo National,medium_airport,21.419833,-104.842472,3020.0,,MX,MX-NAY,Tepic,2300.0208000000002,45.110400000000006,medium,4,9387.488135691865,global
UPN,Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport,Uruapan - Licenciado y General Ignacio Lopez Rayon,medium_airport,19.3967,-102.039001,5258.0,,MX,MX-MIC,Uruapan,2399.9952000000003,45.110400000000006,medium,4,9400.299273625706,global
PXM,Aeropuerto Internacional de Puerto Escondido,Aeropuerto Internacional de Puerto Escondido,medium_airport,15.874859,-97.091868,294.0,,MX,MX-OAX,Puerto Escondido,2300.0208000000002,45.110400000000006,medium,4,9404.207109270998,global
IZA,Presidente Itamar Franco Airport,Presidente Itamar Franco,medium_airport,-21.513086,-43.173069,1348.0,South America,BR,BR-MG,Juiz de Fora,2524.9632,45.110400000000006,medium,4,9439.021945561963,global
LAP,Manuel Márquez de León International Airport,Manuel Márquez de León,medium_airport,24.0727005005,-110.361999512,69.0,,MX,MX-BCS,La Paz,2499.9696,45.110400000000006,medium,4,9464.832829387207,global
ACA,Aeropuerto Internacional Juan N. Álvarez,Aeropuerto Internacional Juan N. Álvarez,large_airport,16.762118,-99.755473,16.0,,MX,MX-GRO,Ciudad de Acapulco,1700.4792,35.052,small,4,9494.534651643175,global
CLQ,Aeropuerto Internacional Licenciado Miguel de la Madrid,Aeropuerto Internacional Licenciado Miguel de la Madrid,medium_airport,19.277,-103.577002,2467.0,,MX,MX-COL,Colima,2300.0208000000002,45.110400000000006,medium,4,9505.321281403458,global
BVH,Brigadeiro Camarão Airport,Brigadeiro Camarão,medium_airport,-12.6944,-60.098301,2018.0,South America,BR,BR-RO,Vilhena,2599.944,29.8704,medium,4,9512.100457679295,global
HAC,Hachijojima Airport,Hachijojima,medium_airport,33.115002,139.785995,303.0,Asia,JP,JP-13,Hachijojima,2000.4024000000002,45.110400000000006,medium,4,9549.869834032737,global
CGB,Marechal Rondon Airport,Marechal Rondon,medium_airport,-15.6529,-56.116699,617.0,South America,BR,BR-MT,Cuiabá,2300.0208000000002,45.110400000000006,medium,4,9553.654570668932,global
ZLO,Aeropuerto Internacional Playa de Oro,Aeropuerto Internacional Playa de Oro,medium_airport,19.1448,-104.558998,30.0,,MX,MX-COL,Manzanillo,2200.0464,45.110400000000006,medium,4,9577.005877939824,global
UEO,Kumejima Airport,Kumejima,medium_airport,26.363445,126.71384,23.0,Asia,JP,JP-47,Kumejima,2000.0976,45.110400000000006,medium,4,9603.968652318608,global
RAO,Leite Lopes Airport,Leite Lopes,medium_airport,-21.134314,-47.774053,1805.0,South America,BR,BR-SP,Ribeirão Preto,2100.072,45.110400000000006,medium,4,9626.602872905036,global
