iata_code,month,monthly_flights
AT_LOWW_CH_LSGG,2024-01,176888812996585471421299658547142213491069410655
AT_LOWW_CH_LSGG,2024-02,1567878132406808643213240680864321919996579542
AT_LOWW_CH_LSGG,2024-03,170858514861813667251486181366725216791090310776
AT_LOWW_CH_LSZH,2024-01,460230230497342269427040497342269427040776473884538802
AT_LOWW_CH_LSZH,2024-02,432216216504502565624794504502565624794733953672536670
AT_LOWW_CH_LSZH,2024-03,444222222574422940728035574422940728035745603737437186
AT_LOWW_CN_ZBAA,2024-01,261313643132493182643132493182811240564056
AT_LOWW_CN_ZBAA,2024-02,261313646533573108646533573108811240564056
AT_LOWW_CN_ZBAA,2024-03,261313691634003516691634003516811240564056
AT_LOWW_CN_ZSPD,2024-01,261313473729231814473729231814858042904290
AT_LOWW_CN_ZSPD,2024-02,241212544426692775544426692775792339603963
AT_LOWW_CN_ZSPD,2024-03,251213569028822808569028822808825239604292
AT_LOWW_CY_LCLK,2024-01,864343113585481587711358548158771622881528076
AT_LOWW_CY_LCLK,2024-02,824141136256298732713625629873271563278197813
AT_LOWW_CY_LCLK,2024-03,964848161977487871016197748787101838492159169
AT_LOWW_CY_LCPH,2024-01,341717455522332322455522332322638631933193
AT_LOWW_CY_LCPH,2024-02,321616505424242630505424242630603030113019
AT_LOWW_CY_LCPH,2024-03,381919638930493340638930493340720236013601
AT_LOWW_CZ_LKPR,2024-01,15175769253511941349253511941341707485108564
AT_LOWW_CZ_LKPR,2024-02,149757410131541947129973526147121692486048320
AT_LOWW_CZ_LKPR,2024-03,1497475110505860519011050586051901681283588454
AT_LOWW_DE_EDDB,2024-01,346173173334911527918212334911527918212572662872128545
AT_LOWW_DE_EDDB,2024-02,325160165380671921318854380671921318854543272684527482
AT_LOWW_DE_EDDB,2024-03,395195200481682549522673481682549522673650113226432747
AT_LOWW_DE_EDDF,2024-01,582290292665012970936792665012970936792979974922548772
AT_LOWW_DE_EDDF,2024-02,6032983056658634186324006658634186324001018395073651103
AT_LOWW_DE_EDDF,2024-03,6603293317601839978360407601839978360401126505646756183
AT_LOWW_DE_EDDH,2024-01,276137139308021459716205308021459716205408502033720513
AT_LOWW_DE_EDDH,2024-02,275136139307711519815573307711519815573424592102821431
AT_LOWW_DE_EDDH,2024-03,315151164414252076820657414252076820657527212532427397
AT_LOWW_DE_EDDK,2024-01,202101101252441248012764252441248012764318991592315976
AT_LOWW_DE_EDDK,2024-02,208103105250871269012397250871269012397332931650316790
AT_LOWW_DE_EDDK,2024-03,230113117318831627615607318831627615607380271871119316
AT_LOWW_DE_EDDL,2024-01,322161161353461664718699353461664718699476942383323861
AT_LOWW_DE_EDDL,2024-02,315157158320031650515498320031650515498477562389823858
AT_LOWW_DE_EDDL,2024-03,335167168385101999518515385101999518515534092677226637
AT_LOWW_DE_EDDM,2024-01,338169169301211414715974301211414715974453672276022607
AT_LOWW_DE_EDDM,2024-02,311155156295391539414145295391539414145422462121421032
AT_LOWW_DE_EDDM,2024-03,326163163354571865216805354571865216805461672320522962
AT_LOWW_DE_EDDS,2024-01,2401201201982393941042919823939410429323201611616204
AT_LOWW_DE_EDDS,2024-02,2241101141993610446949019936104469490307471507315674
AT_LOWW_DE_EDDS,2024-03,228112116240491253011519240491253011519334151636717048
AT_LOWW_DE_EDDV,2024-01,10653539028411549139028411549131394769157032
AT_LOWW_DE_EDDV,2024-02,9044468724420545198724420545191196957946175
AT_LOWW_DE_EDDV,2024-03,1175859111475725542211147572554221519274887704
AT_LOWW_DK_EKCH,2024-01,315158157354391662018819327071534317364595862978429802
AT_LOWW_DK_EKCH,2024-02,275137138355241783217692331721673116441522182594426274
AT_LOWW_DK_EKCH,2024-03,302151151428232237220451404442113419310584522918129271
AT_LOWW_EG_HECA,2024-01,1075453120856887519812085688751981741988568563
AT_LOWW_EG_HECA,2024-02,1055352132106439677113210643967711686185408321
AT_LOWW_EG_HECA,2024-03,1095455121925862633012192586263301747686788798
AT_LOWW_EG_HEGN,2024-01,7035359470511043609470511043601290164266475
AT_LOWW_EG_HEGN,2024-02,753738126445882676212644588267621459571487447
