flight_number,flight_date,flight_id,airline_code,airline_name,status,origin,destination,leg_status,departure_airport_code,departure_airport_name,departure_city,departure_country,departure_latitude,departure_longitude,scheduled_departure_time,latest_departure_time,arrival_airport_code,arrival_airport_name,arrival_city,arrival_country,arrival_latitude,arrival_longitude,scheduled_arrival_time,latest_arrival_time,estimated_arrival_time,aircraft_type,aircraft_code,scheduled_duration
3858,2025-05-18,20250518+DL+3858,DL,DELTA AIR LINES INC.,ON_TIME,DTW,DTW,ARRIVED,MDW,MIDWAY INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.785,-87.7519,2025-05-18T09:30:00.000-05:00,2025-05-18T09:30:00.000-05:00,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T11:39:00.000-04:00,2025-05-18T11:39:00.000-04:00,2025-05-18T11:39:00.000-04:00,EMBRAER 175 (ENHANCED WINGLETS),E7W,PT1H9M
1566,2025-05-18,20250518+DL+1566,DL,DELTA AIR LINES INC.,ON_TIME,DTW,IAD,CANCELLED,LGA,LA GUARDIA AIRPORT,NEW YORK,UNITED STATES,40.7794,-73.8758,2025-05-18T08:00:00.000-04:00,2025-05-18T08:00:00.000-04:00,MSP,MINNEAPOLIS INTERNATIONAL AIRPORT,MINNEAPOLIS/ST PAUL,UNITED STATES,44.8861,-93.2178,2025-05-18T10:06:00.000-05:00,2025-05-18T10:06:00.000-05:00,2025-05-18T10:06:00.000-05:00,AIRBUS A321,321,PT3H6M
1566,2025-05-18,20250518+DL+1566,DL,DELTA AIR LINES INC.,ON_TIME,DTW,IAD,CANCELLED,JAX,JACKSONVILLE INTERNATIONAL AIRPORT,JACKSONVILLE,UNITED STATES,30.4925,-81.6897,2025-05-18T20:10:00.000-04:00,2025-05-18T20:10:00.000-04:00,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T21:26:00.000-04:00,2025-05-18T21:26:00.000-04:00,2025-05-18T21:26:00.000-04:00,BOEING 757 PASSENGER,757,PT1H16M
1566,2025-05-18,20250518+DL+1566,DL,DELTA AIR LINES INC.,ON_TIME,DTW,IAD,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T17:45:00.000-04:00,2025-05-18T17:45:00.000-04:00,JAX,JACKSONVILLE INTERNATIONAL AIRPORT,JACKSONVILLE,UNITED STATES,30.4925,-81.6897,2025-05-18T19:05:00.000-04:00,2025-05-18T19:05:00.000-04:00,2025-05-18T19:05:00.000-04:00,BOEING 757 PASSENGER,757,PT1H20M
1566,2025-05-18,20250518+DL+1566,DL,DELTA AIR LINES INC.,ON_TIME,DTW,IAD,ARRIVED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-17T21:20:00.000-04:00,2025-05-17T21:20:00.000-04:00,IAD,DULLES INTERNATIONAL AIRPORT,WASHINGTON,UNITED STATES,38.95,-77.45,2025-05-17T22:48:00.000-04:00,2025-05-17T22:48:00.000-04:00,2025-05-17T22:48:00.000-04:00,BOEING 717-200,717,PT1H28M
1032,2025-05-18,20250518+DL+1032,DL,DELTA AIR LINES INC.,ON_TIME,MSP,ATL,CANCELLED,MCO,ORLANDO INTERNATIONAL AIRPORT,ORLANDO,UNITED STATES,28.4319,-81.3247,2025-05-18T17:00:00.000-04:00,2025-05-18T17:00:00.000-04:00,MIA,MIAMI INTERNATIONAL AIRPORT,MIAMI,UNITED STATES,25.7925,-80.2861,2025-05-18T18:11:00.000-04:00,2025-05-18T18:11:00.000-04:00,2025-05-18T18:11:00.000-04:00,AIRBUS A319,319,PT1H11M
1032,2025-05-18,20250518+DL+1032,DL,DELTA AIR LINES INC.,ON_TIME,MSP,ATL,CANCELLED,ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,2025-05-18T16:51:00.000-04:00,2025-05-18T16:51:00.000-04:00,PBI,PALM BEACH INTERNATIONAL AIRPORT,WEST PALM BEACH,UNITED STATES,26.6822,-80.0942,2025-05-18T18:43:00.000-04:00,2025-05-18T18:43:00.000-04:00,2025-05-18T18:43:00.000-04:00,AIRBUS A321,321,PT1H52M
1032,2025-05-18,20250518+DL+1032,DL,DELTA AIR LINES INC.,ON_TIME,MSP,ATL,CANCELLED,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T15:53:00.000-04:00,2025-05-18T15:53:00.000-04:00,ORD,O HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.9781,-87.9061,2025-05-18T16:18:00.000-05:00,2025-05-18T16:18:00.000-05:00,2025-05-18T16:18:00.000-05:00,BOEING 717-200,717,PT1H25M
1032,2025-05-18,20250518+DL+1032,DL,DELTA AIR LINES INC.,ON_TIME,MSP,ATL,CANCELLED,ORD,O HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,41.9781,-87.9061,2025-05-18T17:55:00.000-05:00,2025-05-18T17:55:00.000-05:00,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,42.2186,-83.3486,2025-05-18T20:18:00.000-04:00,2025-05-18T20:18:00.000-04:00,2025-05-18T20:18:00.000-04:00,BOEING 717-200,717,PT1H23M
1032,2025-05-18,20250518+DL+1032,DL,DELTA AIR LINES INC.,ON_TIME,MSP,ATL,CANCELLED,MIA,MIAMI INTERNATIONAL AIRPORT,MIAMI,UNITED STATES,25.7925,-80.2861,2025-05-18T21:10:00.000-04:00,2025-05-18T21:10:00.000-04:00,MCO,ORLANDO INTERNATIONAL AIRPORT,ORLANDO,UNITED STATES,28.4319,-81.3247,2025-05-18T22:26:00.000-04:00,2025-05-18T22:26:00.000-04:00,2025-05-18T22:26:00.000-04:00,AIRBUS A319,319,PT1H16M
